# Sky View Factor Data
# Point_ID X Y Z SkyViewFactor
371 -5.83333 -4.16667 0 0.635913
372 -4.16667 -4.16667 0 0.622987
373 -2.5 -4.16667 0 0.591632
374 -0.833333 -4.16667 0 0.68493
375 0.833333 -4.16667 0 0.825965
376 2.5 -4.16667 0 0.806276
377 4.16667 -4.16667 0 0.786707
378 5.83333 -4.16667 0 0.750921
379 7.5 -4.16667 0 0.658534
380 9.16667 -4.16667 0 0.632774
381 10.8333 -4.16667 0 0.676652
382 12.5 -4.16667 0 0.723994
383 14.1667 -4.16667 0 0.812722
384 15.8333 -4.16667 0 0.894098
385 17.5 -4.16667 0 0.935833
386 19.1667 -4.16667 0 0.974405
387 20.8333 -4.16667 0 0.981105
388 22.5 -4.16667 0 0.993862
389 24.1667 -4.16667 0 0.996438
390 -24.1667 -2.5 0 0.998648
391 -22.5 -2.5 0 0.995534
392 -20.8333 -2.5 0 0.998809
393 -19.1667 -2.5 0 0.995564
394 -17.5 -2.5 0 0.982462
395 -15.8333 -2.5 0 0.977818
396 -14.1667 -2.5 0 0.948329
397 -12.5 -2.5 0 0.866821
398 -10.8333 -2.5 0 0.789659
399 -9.16667 -2.5 0 0.569965
400 -7.5 -2.5 0 0
401 -5.83333 -2.5 0 0
402 -4.16667 -2.5 0 0
403 -2.5 -2.5 0 0
404 -0.833333 -2.5 0 0
405 0.833333 -2.5 0 0.670196
406 2.5 -2.5 0 0.77528
407 4.16667 -2.5 0 0.799873
408 5.83333 -2.5 0 0.745389
409 7.5 -2.5 0 0.535919
410 9.16667 -2.5 0 0.47086
411 10.8333 -2.5 0 0.458434
412 12.5 -2.5 0 0.577841
413 14.1667 -2.5 0 0.713032
414 15.8333 -2.5 0 0.876117
415 17.5 -2.5 0 0.921601
416 19.1667 -2.5 0 0.979416
417 20.8333 -2.5 0 0.98781
418 22.5 -2.5 0 0.990264
419 24.1667 -2.5 0 0.995495
420 -24.1667 -0.833333 0 0.999105
421 -22.5 -0.833333 0 0.996123
422 -20.8333 -0.833333 0 0.995389
423 -19.1667 -0.833333 0 0.989538
424 -17.5 -0.833333 0 0.987118
425 -15.8333 -0.833333 0 0.9617
426 -14.1667 -0.833333 0 0.892752
427 -12.5 -0.833333 0 0.761843
428 -10.8333 -0.833333 0 0.580302
429 -9.16667 -0.833333 0 0.388365
430 -7.5 -0.833333 0 0
431 -5.83333 -0.833333 0 0
432 -4.16667 -0.833333 0 0
433 -2.5 -0.833333 0 0
434 -0.833333 -0.833333 0 0
435 0.833333 -0.833333 0 0.508782
436 2.5 -0.833333 0 0.702183
437 4.16667 -0.833333 0 0.680074
438 5.83333 -0.833333 0 0.582045
439 7.5 -0.833333 0 0.459296
440 9.16667 -0.833333 0 0.355192
441 10.8333 -0.833333 0 0.312073
442 12.5 -0.833333 0 0.479925
443 14.1667 -0.833333 0 0.680369
444 15.8333 -0.833333 0 0.809386
445 17.5 -0.833333 0 0.918937
446 19.1667 -0.833333 0 0.970078
447 20.8333 -0.833333 0 0.978978
448 22.5 -0.833333 0 0.991879
449 24.1667 -0.833333 0 0.991069
450 -24.1667 0.833333 0 0.997797
451 -22.5 0.833333 0 0.99554
452 -20.8333 0.833333 0 0.993774
453 -19.1667 0.833333 0 0.992232
454 -17.5 0.833333 0 0.990259
455 -15.8333 0.833333 0 0.95482
456 -14.1667 0.833333 0 0.830764
457 -12.5 0.833333 0 0
