# Sky View Factor Data
# Point_ID X Y Z SkyViewFactor
209 -0.196525 3.75237 4 0
210 -0.129859 0.88904 4.76 0
211 -0.0698586 0.485707 3.7858 0
212 -0.129859 -3.11429 4 0
213 -3.14653 -3.11429 3.53333 0
214 -6.91319 -3.11429 4.6 0
215 -8.06319 -2.42429 4.44 0
216 -8.01319 2.12571 4.46667 0
217 -8.02986 -2.46429 4.13333 0
218 -0.196525 -3.18096 0.916667 0
219 -0.0631919 1.78571 1.43333 0.187315
220 -6.25653 3.70237 1.46667 0
221 -3.79753 0.231481 0 0
222 -3.79802 0.342101 0 0
223 -3.79978 0.231481 1 0
224 -5.21653 -0.145935 1.78095 0
225 -5.21811 -0.145935 1.85715 0
226 -6.41018 0.30169 0.3681 0
227 -3.79364 0.223563 0 0
228 -3.79443 0.348642 3 0
229 -7.99653 -1.89763 0.533333 0
230 -8.08986 -1.81763 0.8 0
231 -8.08319 -1.21429 0.795 0
232 -2.59653 3.81904 1.75 0
233 -6.50653 3.71237 0.8 0
234 -2.79986 3.77904 0.8 0
235 -2.39653 3.76571 0.795 0
236 -5.18986 -1.82429 1.38333 0
237 -5.18986 -0.847627 2.75 0
238 -5.21653 1.41904 2.3 0
239 -12.7232 -0.0142934 2 0.567945
240 -11.6565 0.0223732 0.671667 0
241 -0.463192 -2.06156 2.75 0
242 -0.529859 1.17147 0.75 0
243 -1.19653 1.01814 0.74369 0
244 -0.863192 1.01814 0.9375 0
245 -0.863192 0.634802 1.25 0
246 -1.19653 0.0981352 1.49369 0
247 -0.529859 -0.438531 1.89679 0
248 -0.529859 0.0214685 1.6875 0
249 -7.79578 2.0396 0.98346 0
250 -7.7943 2.06691 1.00867 0
251 -7.77079 2.08216 1.00082 0
252 -7.79311 2.06476 0.975967 0
253 -7.78893 2.07814 0.986398 0
254 -7.94563 1.91756 1 0
255 -7.91583 1.8902 0.97 0
256 -7.93082 1.91847 1 0
257 -7.87691 1.90747 1.02495 0
258 -7.86443 1.91582 1.02614 0
259 -7.92857 1.88292 0.99 0
260 -7.85213 1.91231 1.03759 0
261 -7.93438 1.93197 0.85 0
262 -7.90968 1.9184 0.871226 0
263 -7.90829 1.90024 0.89 0
264 -7.9333 1.93189 0.97 0
265 -7.94132 1.88449 0.93 0
266 -7.79911 2.03613 0.992194 0
267 -7.89148 1.97434 0.921431 0
268 -7.83311 1.99544 0.957663 0
269 -7.58391 1.94112 0.85 0
270 -7.94957 2.2505 0.85 0
271 -7.74653 2.28693 0.85 0
272 -7.56344 2.26752 0.85 0
273 -7.57285 2.23426 0.654819 0
274 -7.54878 2.18973 0.659704 0
275 -7.60871 2.25824 0.660151 0
276 -7.58592 2.22847 0.650578 0
277 -7.5533 2.20064 0.654814 0
278 -7.6107 2.24617 0.65197 0
279 -7.5678 2.22315 0.787007 0
280 -7.60328 2.25251 0.849122 0
281 -7.55269 2.19359 0.849353 0
282 -7.56762 2.22406 0.848433 0
283 -7.61388 2.25388 0.787007 0
